"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Mouser-Nr"
"C1,C2,C3,C4,C5","5","100n","","","","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.de/ProductDetail/Murata-Electronics/GRM152D70G104ME15D?qs=sGAEpiMZZMuMW9TJLBQkXoKYeER5boKt%252BYt%2F3iYDMEw%3D","81-GRM152D70G104ME5D"
"C6,C12,C13","3","22u","","","","Capacitor_SMD:C_0603_1608Metric","https://www.mouser.de/ProductDetail/Murata-Electronics/GRM188C80J226ME15D?qs=K0Sa7bCb58I9yTIvpI1jlg%3D%3D","81-GRM188C80J226ME5D"
"C7,C14","2","1u5","","","","Capacitor_SMD:C_0603_1608Metric","https://www.mouser.de/ProductDetail/TDK/C1608X8L0J155K080AC?qs=sGAEpiMZZMuMW9TJLBQkXhEmpb63FTdUC9o8Bfzm4VU%3D","810-C1608X8L0J155K08"
"C8,C9","2","6p","","","","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.de/ProductDetail/Murata-Electronics/GCQ1555C1H6R0BB01D?qs=0lQeLiL1qyboJshP5ofKfA%3D%3D","81-GCQ1555C1H6R0BB1D"
"C10,C11","2","10u","","","","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.de/ProductDetail/KYOCERA-AVX/TACR106M006RTA?qs=OXZB6UXbI1yoXVTqtRXw6g%3D%3D","581-TACR106M006RTA"
"D1","1","PWR","","","","Diode_SMD:D_0603_1608Metric","https://www.mouser.de/ProductDetail/ROHM-Semiconductor/SML-D12V8WT86?qs=4kLU8WoGk0uh2PhEoCCv1w%3D%3D","755-SML-D12V8WT86"
"D2","1","GP","","","","Diode_SMD:D_0603_1608Metric","https://www.mouser.de/ProductDetail/ROHM-Semiconductor/SML-D12V8WT86?qs=4kLU8WoGk0uh2PhEoCCv1w%3D%3D","755-SML-D12V8WT86"
"H1,H2,H3","3","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_Pad","~","~"
"J1","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Wuerth_629105150521","https://www.mouser.de/ProductDetail/Wurth-Elektronik/629105150521?qs=a9WhcLg8qCzXiH7kZP8GRQ%3D%3D","710-629105150521"
"J2","1","USART","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://www.mouser.de/ProductDetail/Wurth-Elektronik/61300411821?qs=iLbezkQI%252BsgYrk24CGHgKQ%3D%3D","710-61300411821"
"J3","1","SWD","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://www.mouser.de/ProductDetail/Wurth-Elektronik/61300411821?qs=iLbezkQI%252BsgYrk24CGHgKQ%3D%3D","710-61300411821"
"J4","1","DMX","","","","own:XLR3_Female","https://www.mouser.de/ProductDetail/Neutrik/NC3FAAH1?qs=jCymNF74TgWwoVvDSxErXA%3D%3D","568-NC3FAAH-1"
"Q2","1","2N7002","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.mouser.de/ProductDetail/onsemi-Fairchild/2N7002?qs=0dwsXDNhqlz66WJJhrTFjQ%3D%3D","512-2N7002"
"R1,R2,R4,R6,R8","5","1k5","","","","Resistor_SMD:R_0402_1005Metric","https://www.mouser.de/ProductDetail/Panasonic/ERA-2VEB1501X?qs=OlC7AqGiEDkx8XOEQaRGXQ%3D%3D","667-ERA-2VEB1501X"
"R3,R5","2","330R","","","","Resistor_SMD:R_0402_1005Metric","https://www.mouser.de/ProductDetail/Vishay-Dale/CRCW0402330RFKEDHP?qs=sGAEpiMZZMtlubZbdhIBIKMpMWeJoXcV1tfZ%252B52JmGI%3D","71-CRCW0402330RFKEDH"
"R7","1","150R","","","","Resistor_SMD:R_0402_1005Metric","https://www.mouser.de/ProductDetail/KOA-Speer/SG73P1EWTTP151J?qs=Jslch3jnSjnKow4tRGzcMQ%3D%3D","660-SG73P1EWTTP151J"
"SW1","1","RST","","","","own:omron_B3U-1000P","https://www.mouser.de/ProductDetail/Omron-Electronics/B3U-1000P?qs=AO7BQMcsEu4ip80xyf2FwA%3D%3D","653-B3U-1000P"
"SW2","1","BOOT0","","","","own:wuerth_slide_switch_450404015514","https://www.mouser.de/ProductDetail/Wurth-Elektronik/450404015514?qs=sPbYRqrBIVk21%2FxsES2IZA%3D%3D","710-450404015514"
"TP1","1","TX","","","","TestPoint:TestPoint_Pad_D1.0mm","~","~"
"TP2","1","DMX","","","","TestPoint:TestPoint_Pad_D1.0mm","~","~"
"TP3","1","INT","","","","TestPoint:TestPoint_Pad_D1.0mm","~","~"
"U1","1","STM32F103C8T6","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.mouser.de/ProductDetail/STMicroelectronics/STM32F103C8T6?qs=bhCVus9SdFtq6kqxsU5%2FDA%3D%3D","511-STM32F103C8T6"
"U2","1","SN75176BDR","","","","own:SN75176B-SOIC-8","https://www.mouser.de/ProductDetail/Texas-Instruments/SN75176BDR?qs=sbcp%2F4gpy09LI1PRfuQQ%252BA%3D%3D","595-SN75176BDR"
"U3","1","LM1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.mouser.de/ProductDetail/Texas-Instruments/LM1117IMPX-3.3-NOPB?qs=X1J7HmVL2ZG7K12CpArCeA%3D%3D","926-LM1117IMPX33NOPB"
"Y1","1","Crystal_16MHz","","","","own:Crystal_Wuerth_830108207109","https://www.mouser.de/ProductDetail/Wurth-Elektronik/830108207109?qs=hWgE7mdIu5S4RrKLDzbRQg%3D%3D","710-830108207109"
